"cases","t_mean","pre_total","ips_n_hum_bas","p_male","Natural.Forest","log_forestloss","log_perm_crop","log_ntfp","log_cattle","year","cod_mun","pop","inci","E","SIR"
8,1.02176350043449,-1.02039220043683,-0.0732495607067574,0.122418861082534,0.380362334982318,-0.670864020873382,-1.01029202550725,1.23144259236683,-0.92828748040956,2016,210620,6829,0.00117147459364475,4.34414536317722,1.84155900210231
4,0.589545199458605,-0.0147922761828339,-0.0732495607067574,0.122418861082534,0.157442510157023,0.279051812175247,-0.777198484704157,1.24421236705696,-0.925680323445385,2017,210620,6867,0.000582495995340032,4.36831837881651,0.915684172517595
0,-0.0443489479182318,-0.136825241232178,0.914572511265264,-0.584210568315434,-1.25811224921631,0.376966883222193,-0.745716373273847,0.268847104523504,-0.894254037445045,2001,210632,15215,0,9.67874823557496,0
23,0.274945457294369,-0.329936219152584,0.914572511265264,-0.584210568315434,-1.1241065883921,-0.580190758397097,-0.7258257593631,0.283104305296577,-0.78450577157324,2002,210632,15465,0.00148722922728742,9.83778123320189,2.33792553979311
16,0.213288666300014,0.00219464871229583,0.914572511265264,-0.584210568315434,-1.29359186247565,0.278813206899357,-0.706730986672545,0.310071942921013,-0.290866588146939,2003,210632,15743,0.00101632471574668,10.014625926563,1.59766326943488
19,-0.0248597696660331,-0.253154776413296,0.914572511265264,-0.584210568315434,-1.24952159288862,-0.711566856250628,-0.516330079544563,0.3452007554519,-0.337289573897114,2004,210632,16327,0.00116371654314938,10.3861270090195,1.82936334049256
13,0.244112735915528,-0.170696763023638,0.914572511265264,-0.584210568315434,-1.1207691550397,-1.03150620024469,-0.529058984851983,0.358750518281609,-0.13054338487862,2005,210632,16650,0.000780780780780781,10.5915976419535,1.22738801448676
24,-0.00217592782374823,-0.414047454904616,0.914572511265264,-0.584210568315434,-1.31353712951131,0.315821931019403,-0.529058984851983,0.3452007554519,-0.155783372022755,2006,210632,16971,0.00141417712568499,10.7957960109065,2.22308757740086
7,0.154105198132281,-0.103610619665142,0.914572511265264,-0.584210568315434,-1.35893200641391,-0.23491847964416,-0.529058984851983,0.398371279436156,-0.15088927086288,2007,210632,17537,0.000399156070023379,11.1558467175339,0.627473662666766
10,-0.215512188181466,0.353815444306294,0.914572511265264,-1.2943105745422,-1.37979581521038,-0.850343376075726,-0.637181914287459,0.458180289883071,0.0245375849725532,2008,210632,18098,0.000552547242789258,11.5127167642087,0.868604709453852
12,-0.010330214712459,0.564279865659964,0.914572511265264,-1.2943105745422,-1.33625882320386,-1.18040609534417,-0.637181914287459,0.455261837643394,-0.00690710456346873,2009,210632,18414,0.00065167807103291,11.7137344732092,1.02443845107174
3,0.543208518287223,-0.651577623601983,0.914572511265264,-1.2943105745422,-1.29586425690143,-1.025304034167,-0.637181914287459,1.01484544280317,-0.00395675394309699,2010,210632,19155,0.000156617071260767,12.1851082781754,0.246202161811994
10,0.121151713280359,0.541201276399852,0.914572511265264,-1.2943105745422,-1.23903785453997,-1.45567053717016,-0.468559678179748,1.03192580454119,-0.00150096207752569,2011,210632,19566,0.000511090667484412,12.446558526274,0.803434939777973
23,0.516063611005201,-1.33164013525645,0.914572511265264,-1.2943105745422,-1.25462957908111,-0.839148530716209,-0.474275981966328,1.03775313919755,0.0118221026732145,2012,210632,19887,0.00115653441947001,12.650756895227,1.81807303630011
22,0.543768719959333,-0.574629232634465,0.914572511265264,-1.2943105745422,-1.21417610997312,-1.25884722777078,-0.446355411356664,1.04677162595707,0.0729371665543228,2013,210632,20268,0.00108545490428261,12.8931231836105,1.70633598133663
18,0.511013144192118,0.0803666705122191,0.914572511265264,-1.2943105745422,-1.31422706687786,-0.313536334886876,-0.535553039602944,1.06075975846466,0.0753924006830258,2014,210632,20549,0.000875955034308239,13.0718762729431,1.37700201747299
